obf,count,score,alpha,beta
-----------------OO-OX----OXXXX---XOO-O-----O------------------- X;,16,14,-64,0
------------------O-OX----OXXXX---OXO-O---O-O------------------- X;,2,18,-64,0
------------------XXXO---XXXO----O-OOOO----O-------------------- X;,0,14,-64,0
-----------O------XOX----XXOX----O-OOOO----O-------------------- X;,0,18,-64,0
-----------------OXXX----OOXX----O-OOOO----O-------------------- X;,0,20,-64,0
----------O-------XOX----XXXO----O-OOOO----O-------------------- X;,0,20,-64,0
-----------XO-----XO------OXOO---OOOO-------O-------O----------- X;,0,26,-64,0
---------O--------OXX----XXOX----O-OOOO----O-------------------- X;,0,34,-64,0
------------------XO--O--XXXXO---O-OOO-----O--O----------------- X;,0,16,-64,0
-----------OX-------XX----OOXO-----XO------OOO----O------------- X;,0,16,-64,0
-------------O-----XO------XX-----OXOO----OO------OOO----------- X;,0,22,-64,0
-------------------XXX----XOOO----OOOO------OOO----------------- X;,74,2,-64,0
------------------XXX------XOOO---OOOO---OOO-------------------- X;,25,4,-64,0
------------------XXX-O----XOO----OOOO---OOO-------------------- X;,1,6,-64,0
------------------XXXO-----XOO----OOOO---OOO-------------------- X;,1,8,-64,0
-------------O-----XOX----XOX-----OOOO------OOO----------------- X;,0,10,-64,0
-----------O-------OXX----XOX-----OOOO------OOO----------------- X;,0,12,-64,0
------------O------XOX----XOO-----OOOO------OOO----------------- X;,0,14,-64,0
----------O--------OXX----XOO-----OOOO------OOO----------------- X;,0,18,-64,0
--------------O----XXO----XOO-----OOOO------OOO----------------- X;,0,30,-64,0
---O--------O-------XOO---XXX------XXO------OOO----------------- X;,67,4,-64,0
------------X-------XOO---XXX-----OOOO------OOO----------------- X;,4,8,-64,0
-------------------X-------XX---OOOOOO----O-OO----O--O---------- X;,2,10,-64,0
-------------------X------OXX----XOOXO----O-OO----O--O---------- X;,3,12,-64,0
-----------X-----OOX-------OXX----OXO----OOO-O------------------ X;,0,12,-64,0
------------X-----O-XOO---XOX------XOO------OOO----------------- X;,0,12,-64,0
-----------X-----OOX--O----XXO----OXO----OOO-------------------- X;,0,16,-64,0
------------O-----XXOX----XXO------XXO------OOO----------------- X;,0,8,-64,0
------------------XXXX-----OOOO---OXX----OOO-------------------- X;,0,8,-64,0
------------------XXXX----XXO-----OOOO------OOO----------------- X;,0,8,-64,0
------------------XXXX-----OXX----OXO----OOO-O------------------ X;,0,10,-64,0
----------O-------XOXX----XXO------XXO------OOO----------------- X;,0,14,-64,0
------------------XXXXO----OXO----OXO----OOO-------------------- X;,0,14,-64,0
------------------XX------XXX-----XOXO----O-OO---O---O---------- X;,0,24,-64,0
---------O--------OXXX----XOO------XOO------OOO----------------- X;,0,26,-64,0
------------------XXXO-----XXO----OOOO---OOO-------------------- X;,1,8,-64,0
------------------OX------OXX-----OXOO----O-OO----O--O---------- X;,1,12,-64,0
------------O-----OXOX----XXO------XOO------OOO----------------- X;,0,12,-64,0
------------------XXXOO----XXO----OOO----OOO-------------------- X;,0,12,-64,0
----------O-------OOXX----XXO------XOO------OOO----------------- X;,2,14,-64,0
-------------O----XOOO----XOXO----XOO------O------O------------- X;,0,14,-64,0
------------------XXXOO----XOO----OOO----OOO-------------------- X;,0,14,-64,0
-------------O----X-OO----XXXO---OOOO------O------O------------- X;,0,16,-64,0
-------------O----XXO-O----OXO----OXO----OOO-------------------- X;,0,18,-64,0
------------O----O-OOX----OXO------OOO------OOO----------------- X;,0,28,-64,0
---------O--------OXX-O----OXO----OXO----OOO-------------------- X;,0,38,-64,0
-------------------OOX----XXO-----XXXO----O-OOO----------------- X;,5,6,-64,0
------------------OXX------XX-----OXXO----OO-O----O--O---------- X;,3,8,-64,0
----------O-------OO-X----OOXO-----XO-----OOOO------------------ X;,0,12,-64,0
--------------------OX----XOX-----OXXO---OO-OOO----------------- X;,1,14,-64,0
-----------------O--OX----OXX-----XOXO----O-OOO----------------- X;,0,14,-64,0
